match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Antwerp vs Oostende,1X2,Home,1.57,0.7156761559763977,0.6369426751592356,0.07873348081716203,W,5.700000000000001,Jupiler Pro League,1,2022-10-20
Barcelona vs Villarreal,O/U,Under 2.5,2.48,0.5621327097996103,0.40322580645161293,0.15890690334799734,L,-10.0,La Liga,1,2022-10-20
Juventus vs Empoli,O/U,Under 2.5,2.22,0.5500006984274982,0.4504504504504504,0.09955024797704781,L,-10.0,Serie A,1,2022-10-21
Porto vs Benfica,O/U,Over 2.5,1.99,0.5538143290961219,0.5025125628140703,0.05130176628205163,L,-10.0,Liga Portugal,1,2022-10-21
Rotherham vs Hull,1X2,Home,2.27,0.560521084974132,0.44052863436123346,0.11999245061289854,L,-10.0,Championship,2,2022-10-22
Atromitos vs Volos NFC,1X2,Away,3.17,0.425062231173811,0.31545741324921134,0.10960481792459964,W,21.7,Super League,1,2022-10-22
Reggina vs Perugia,1X2,Home,1.94,0.5850467031516955,0.5154639175257733,0.06958278562592224,L,-10.0,Serie B,2,2022-10-22
Millwall vs West Brom,1X2,Home,2.7,0.5411343744298982,0.37037037037037035,0.17076400405952785,W,17.0,Championship,2,2022-10-22
Nurnberg vs Hannover,1X2,Away,3.46,0.4107369112847479,0.28901734104046245,0.12171957024428542,L,-10.0,2. Bundesliga,2,2022-10-22
Salford vs Stockport,1X2,Home,2.75,0.497235562649485,0.36363636363636365,0.13359919901312134,L,-10.0,League Two,4,2022-10-22
Amiens vs St Etienne,1X2,Home,2.48,0.5190094013156445,0.40322580645161293,0.11578359486403161,L,-10.0,Ligue 2,2,2022-10-22
Bielefeld vs St Pauli,O/U,Under 2.5,2.2,0.5198782486805225,0.45454545454545453,0.06533279413506793,W,12.000000000000002,2. Bundesliga,2,2022-10-22
Bielefeld vs St Pauli,1X2,Home,3.05,0.4135251239073413,0.3278688524590164,0.08565627144832488,W,20.5,2. Bundesliga,2,2022-10-22
Brescia vs Venezia,1X2,Home,2.26,0.5342918588536494,0.4424778761061947,0.09181398274745467,L,-10.0,Serie B,2,2022-10-22
Braunschweig vs Paderborn,O/U,Under 2.5,2.35,0.5098124447782664,0.425531914893617,0.08428052988464935,W,13.5,2. Bundesliga,2,2022-10-22
Ibiza vs Levante,1X2,Home,3.23,0.39705526324235463,0.30959752321981426,0.08745774002254036,L,-10.0,Segunda Division,2,2022-10-22
Accrington vs Bolton,O/U,Under 2.5,1.9,0.5805592554415676,0.5263157894736842,0.05424346596788343,L,-10.0,League One,3,2022-10-22
Leverkusen vs Wolfsburg,O/U,Under 2.5,2.4,0.512103023861612,0.4166666666666667,0.09543635719494531,L,-10.0,Bundesliga,1,2022-10-22
Stoke vs Coventry,O/U,Under 2.5,1.83,0.5993765255706252,0.5464480874316939,0.05292843813893122,W,8.3,Championship,2,2022-10-22
Freiburg vs Werder Bremen,1X2,Away,3.84,0.3772097671487159,0.2604166666666667,0.11679310048204922,L,-10.0,Bundesliga,1,2022-10-22
Clermont vs Brest,1X2,Home,2.33,0.5368325284455968,0.4291845493562232,0.10764797908937362,L,-10.0,Ligue 1,1,2022-10-23
Barcelona vs Ath Bilbao,O/U,Under 2.5,2.32,0.49320937136711673,0.4310344827586207,0.062174888608496015,L,-10.0,La Liga,1,2022-10-23
Panathinaikos vs Aris,O/U,Over 2.5,2.29,0.4991633292607752,0.4366812227074236,0.062482106553351624,L,-10.0,Super League,1,2022-10-23
Panathinaikos vs Aris,1X2,Home,1.82,0.6461678786847039,0.5494505494505494,0.09671732923415455,W,8.200000000000001,Super League,1,2022-10-23
Tottenham vs Newcastle,1X2,Home,2.09,0.6284488032249347,0.47846889952153115,0.14997990370340353,L,-10.0,Premier League,1,2022-10-23
Leeds vs Fulham,O/U,Under 2.5,2.13,0.5295155431841708,0.4694835680751174,0.06003197510905345,L,-10.0,Premier League,1,2022-10-23
Bochum vs Union Berlin,O/U,Over 2.5,2.08,0.5756660817543533,0.4807692307692307,0.09489685098512257,W,10.8,Bundesliga,1,2022-10-23
Bochum vs Union Berlin,1X2,Away,1.93,0.6418505554895788,0.5181347150259068,0.12371584046367201,L,-10.0,Bundesliga,1,2022-10-23
Cambuur vs Twente,O/U,Under 2.5,2.16,0.5318723873262214,0.4629629629629629,0.06890942436325853,W,11.600000000000001,Eredivisie,1,2022-10-23
Volendam vs Heerenveen,O/U,Under 2.5,2.17,0.5248718780798465,0.4608294930875576,0.06404238499228887,L,-10.0,Eredivisie,1,2022-10-23
Oostende vs Waregem,O/U,Under 2.5,2.16,0.5295195337699454,0.4629629629629629,0.06655657080698252,L,-10.0,Jupiler Pro League,1,2022-10-23
Standard vs Anderlecht,1X2,Home,2.98,0.44239681986925583,0.33557046979865773,0.1068263500705981,W,19.8,Jupiler Pro League,1,2022-10-23
Toulouse vs Strasbourg,1X2,Home,2.22,0.5356324320358719,0.4504504504504504,0.08518198158542145,L,-10.0,Ligue 1,1,2022-10-23
Betis vs Ath Madrid,1X2,Home,3.16,0.4403744380352247,0.3164556962025316,0.12391874183269308,L,-10.0,La Liga,1,2022-10-23
Ad. Demirspor vs Konyaspor,1X2,Home,2.16,0.5636740425571036,0.4629629629629629,0.10071107959414072,L,-10.0,Super Lig,1,2022-10-23
Ionikos vs Giannina,O/U,Over 2.5,2.24,0.507702654964697,0.4464285714285714,0.06127408353612562,W,12.400000000000002,Super League,1,2022-10-23
Udinese vs Torino,O/U,Over 2.5,2.02,0.5709669413504461,0.49504950495049505,0.07591743639995108,W,10.2,Serie A,1,2022-10-23
Udinese vs Torino,1X2,Home,2.03,0.6374972017267923,0.4926108374384237,0.14488636428836854,L,-10.0,Serie A,1,2022-10-23
Atalanta vs Lazio,1X2,Away,3.75,0.40485340478282705,0.26666666666666666,0.1381867381161604,W,27.5,Serie A,1,2022-10-23
