date,tour,series,surface,round,pick,odds,model_prob,implied_prob,edge,won,pnl
2022-09-12,WTA,WTA250,Hard,1st Round,pA,4.08,0.2784725189208984,0.24509803921568626,0.03337447970521215,0,-10.0
2022-09-13,WTA,WTA250,Hard,1st Round,pA,2.27,0.5256685018539429,0.44052863436123346,0.08513986749270941,0,-10.0
2022-09-13,WTA,WTA250,Hard,1st Round,pA,1.28,0.8882204174995423,0.78125,0.10697041749954228,1,2.8000000000000003
2022-09-13,WTA,WTA250,Hard,1st Round,pB,1.18,0.9907189757330344,0.8474576271186441,0.14326134861439022,1,1.7999999999999994
2022-09-13,WTA,WTA250,Hard,1st Round,pB,1.17,0.9958994563436135,0.8547008547008548,0.14119860164275877,1,1.6999999999999993
2022-09-13,WTA,WTA250,Hard,1st Round,pA,1.27,0.8525976419448853,0.7874015748031495,0.06519606714173576,1,2.7
2022-09-13,WTA,WTA250,Hard,1st Round,pA,1.47,0.9252953648567199,0.6802721088435374,0.24502325601318253,1,4.699999999999999
2022-09-13,WTA,WTA250,Hard,1st Round,pB,1.17,0.9978845679899677,0.8547008547008548,0.14318371328911295,1,1.6999999999999993
2022-09-14,WTA,WTA250,Hard,2nd Round,pA,1.54,0.7125649929046631,0.6493506493506493,0.06321434355401379,0,-10.0
2022-09-14,WTA,WTA250,Hard,2nd Round,pA,3.71,0.5042359590530395,0.2695417789757412,0.2346941800772983,0,-10.0
2022-09-14,WTA,WTA250,Hard,2nd Round,pB,4.29,0.33324314355850215,0.2331002331002331,0.10014291045826906,0,-10.0
2022-09-15,WTA,WTA250,Hard,2nd Round,pB,2.08,0.5812879145145416,0.4807692307692307,0.10051868374531092,0,-10.0
2022-09-15,WTA,WTA250,Hard,2nd Round,pA,1.32,0.9961217761039733,0.7575757575757576,0.23854601852821578,1,3.2000000000000006
2022-09-16,WTA,WTA250,Hard,Quarterfinals,pB,1.77,0.8201352804899216,0.5649717514124294,0.2551635290774922,1,7.7
2022-09-16,WTA,WTA250,Hard,Quarterfinals,pA,2.66,0.548712158203125,0.37593984962406013,0.1727723085790649,0,-10.0
2022-09-16,WTA,WTA250,Hard,Quarterfinals,pB,2.62,0.8819071382284165,0.38167938931297707,0.5002277489154394,0,-10.0
2022-09-16,WTA,WTA250,Hard,Quarterfinals,pB,2.09,0.6128741979599,0.47846889952153115,0.1344052984383688,1,10.899999999999999
2022-09-18,WTA,WTA250,Hard,The Final,pA,2.91,0.45116759538650514,0.3436426116838488,0.10752498370265634,1,19.1
2022-09-12,WTA,WTA250,Hard,1st Round,pA,1.72,0.6426274538040161,0.5813953488372093,0.061232104966806755,1,7.199999999999999
2022-09-12,WTA,WTA250,Hard,1st Round,pB,3.06,0.36249939203262327,0.32679738562091504,0.03570200641170823,0,-10.0
2022-09-12,WTA,WTA250,Hard,1st Round,pB,1.66,0.6693630754947663,0.6024096385542169,0.06695343694054934,1,6.6
2022-09-12,WTA,WTA250,Hard,1st Round,pA,2.97,0.4350727915763855,0.33670033670033667,0.09837245487604884,0,-10.0
2022-09-13,WTA,WTA250,Hard,1st Round,pA,1.37,0.8027845025062561,0.7299270072992701,0.07285749520698603,0,-10.0
2022-09-13,WTA,WTA250,Hard,1st Round,pB,2.34,0.48894597291946407,0.4273504273504274,0.06159554556903668,0,-10.0
