match,market,sel,odds,mp,ip,edge,W,pnl,league,tier,date
Accrington vs Tranmere,O/U,Under 2.5,2.29,0.49046420615781683,0.4366812227074236,0.05378298345039323,False,-10.0,League Two,4,2024-04-27
Las Palmas vs Girona,O/U,Under 2.5,2.18,0.5424833706550682,0.4587155963302752,0.08376777432479304,True,11.8,La Liga,1,2024-04-27
Modena vs Sudtirol,O/U,Over 2.5,2.56,0.48212075910690944,0.390625,0.09149575910690944,False,-10.0,Serie B,2,2024-04-27
Pendikspor vs Kayserispor,O/U,Under 2.5,2.12,0.5430574066778513,0.4716981132075471,0.07135929347030417,False,-10.0,Super Lig,1,2024-04-28
Alanyaspor vs Istanbulspor,O/U,Under 2.5,2.44,0.4831751543037961,0.4098360655737705,0.07333908873002559,False,-10.0,Super Lig,1,2024-04-28
PAOK vs AEK,O/U,Over 2.5,1.91,0.5971440251682163,0.5235602094240838,0.07358381574413253,True,9.1,Super League,1,2024-04-28
Porto vs Sp Lisbon,O/U,Over 2.5,1.82,0.6063326606317531,0.5494505494505494,0.056882111181203676,True,8.200000000000001,Liga Portugal,1,2024-04-28
Nurnberg vs Karlsruhe,O/U,Under 2.5,2.52,0.4909486255105482,0.3968253968253968,0.09412322868515138,True,15.2,2. Bundesliga,2,2024-04-28
M'gladbach vs Union Berlin,1X2,Home,2.33,0.5251104633976662,0.4291845493562232,0.09592591404144302,False,-10.0,Bundesliga,1,2024-04-28
Darmstadt vs Heidenheim,O/U,Under 2.5,2.23,0.5046763477805728,0.4484304932735426,0.05624585450703018,True,12.3,Bundesliga,1,2024-04-28
Darmstadt vs Heidenheim,1X2,Home,3.33,0.3894264165974154,0.3003003003003003,0.08912611629711509,False,-10.0,Bundesliga,1,2024-04-28
Bournemouth vs Brighton,1X2,Home,2.26,0.5729207142512375,0.4424778761061947,0.13044283814504276,True,12.599999999999998,Premier League,1,2024-04-28
Napoli vs Roma,O/U,Over 2.5,1.88,0.6405776995455057,0.5319148936170213,0.10866280592848443,True,8.799999999999999,Serie A,1,2024-04-28
Napoli vs Roma,1X2,Home,1.97,0.6155624111140046,0.5076142131979695,0.10794819791603505,False,-10.0,Serie A,1,2024-04-28
Fiorentina vs Sassuolo,1X2,Home,1.72,0.6482048752442133,0.5813953488372093,0.066809526407004,True,7.199999999999999,Serie A,1,2024-04-28
Wehen vs Greuther Furth,O/U,Under 2.5,2.02,0.5560553561065227,0.49504950495049505,0.061005851156027635,False,-10.0,2. Bundesliga,2,2024-04-28
Vitesse vs For Sittard,1X2,Home,3.48,0.4118308990631825,0.28735632183908044,0.12447457722410205,True,24.8,Eredivisie,1,2024-04-28
Bologna vs Udinese,1X2,Home,1.61,0.7231989061407942,0.6211180124223602,0.10208089371843398,False,-10.0,Serie A,1,2024-04-28
Inter vs Torino,O/U,Over 2.5,2.03,0.5769213504736559,0.4926108374384237,0.08431051303523218,False,-10.0,Serie A,1,2024-04-28
Inter vs Torino,1X2,Home,1.53,0.725670852328477,0.6535947712418301,0.07207608108664687,True,5.300000000000001,Serie A,1,2024-04-28
Barcelona vs Valencia,O/U,Under 2.5,2.28,0.5322242423628892,0.4385964912280702,0.09362775113481903,False,-10.0,La Liga,1,2024-04-29
Preston vs Leicester,O/U,Under 2.5,2.09,0.5572347401035237,0.47846889952153115,0.07876584058199254,False,-10.0,Championship,2,2024-04-29
Coventry vs Ipswich,O/U,Under 2.5,2.53,0.48145662050492466,0.3952569169960475,0.08619970350887718,False,-10.0,Championship,2,2024-04-30
Besiktas vs Rizespor,O/U,Under 2.5,2.26,0.5325244593227759,0.4424778761061947,0.09004658321658121,False,-10.0,Super Lig,1,2024-05-03
Westerlo vs St Truiden,O/U,Under 2.5,2.51,0.4985858010299701,0.39840637450199207,0.10017942652797801,False,-10.0,Jupiler Pro League,1,2024-05-03
For Sittard vs Go Ahead Eagles,1X2,Home,2.46,0.528869014107054,0.4065040650406504,0.1223649490664036,False,-10.0,Eredivisie,1,2024-05-03
Sunderland vs Sheffield Weds,1X2,Home,2.73,0.4710952545861617,0.3663003663003663,0.10479488828579542,False,-10.0,Championship,2,2024-05-04
Cercle Brugge vs Genk,O/U,Under 2.5,2.24,0.530880858382246,0.4464285714285714,0.08445228695367457,False,-10.0,Jupiler Pro League,1,2024-05-04
Samsunspor vs Trabzonspor,1X2,Away,2.56,0.5150395860263228,0.390625,0.12441458602632283,False,-10.0,Super Lig,1,2024-05-04
Kayserispor vs Karagumruk,O/U,Under 2.5,2.15,0.5187340409846486,0.46511627906976744,0.05361776191488116,False,-10.0,Super Lig,1,2024-05-04
Girona vs Barcelona,1X2,Away,2.41,0.48597558158134047,0.41493775933609955,0.07103782224524091,False,-10.0,La Liga,1,2024-05-04
Plymouth vs Hull,O/U,Under 2.5,2.26,0.5097847740943652,0.4424778761061947,0.06730689798817047,True,12.599999999999998,Championship,2,2024-05-04
Middlesbrough vs Watford,O/U,Under 2.5,2.31,0.528276940663738,0.4329004329004329,0.09537650776330509,False,-10.0,Championship,2,2024-05-04
Leicester vs Blackburn,O/U,Under 2.5,2.48,0.4994761008406403,0.40322580645161293,0.09625029438902738,True,14.8,Championship,2,2024-05-04
Coventry vs QPR,1X2,Away,3.16,0.42165173468014167,0.3164556962025316,0.10519603847761005,True,21.6,Championship,2,2024-05-04
Guingamp vs St Etienne,1X2,Home,2.73,0.46148964552174543,0.3663003663003663,0.09518927922137915,False,-10.0,Ligue 2,2,2024-05-04
Hansa Rostock vs Karlsruhe,O/U,Under 2.5,2.38,0.4976701678719896,0.42016806722689076,0.07750210064509883,False,-10.0,2. Bundesliga,2,2024-05-04
Greuther Furth vs Braunschweig,O/U,Under 2.5,2.15,0.5211544980390458,0.46511627906976744,0.05603821896927835,False,-10.0,2. Bundesliga,2,2024-05-04
Werder Bremen vs M'gladbach,O/U,Under 2.5,2.44,0.4908662276725835,0.4098360655737705,0.08103016209881297,False,-10.0,Bundesliga,1,2024-05-04
Wolfsburg vs Darmstadt,O/U,Under 2.5,2.46,0.5083168432795997,0.4065040650406504,0.1018127782389493,False,-10.0,Bundesliga,1,2024-05-04
Brest vs Nantes,O/U,Over 2.5,2.14,0.5306651422672553,0.4672897196261682,0.06337542264108703,False,-10.0,Ligue 1,1,2024-05-04
Sheffield United vs Nott'm Forest,O/U,Under 2.5,2.43,0.4923533997449152,0.4115226337448559,0.08083076600005928,False,-10.0,Premier League,1,2024-05-04
Buyuksehyr vs Kasimpasa,O/U,Under 2.5,2.14,0.5340047016162888,0.4672897196261682,0.06671498199012055,False,-10.0,Super Lig,1,2024-05-05
Wehen vs Holstein Kiel,O/U,Under 2.5,2.43,0.5077076172229722,0.4115226337448559,0.09618498347811627,True,14.3,2. Bundesliga,2,2024-05-05
Heracles vs Waalwijk,O/U,Under 2.5,2.3,0.5321003250386478,0.4347826086956522,0.09731771634299557,False,-10.0,Eredivisie,1,2024-05-05
Roma vs Juventus,O/U,Over 2.5,2.42,0.4833591504488461,0.4132231404958678,0.0701360099529783,False,-10.0,Serie A,1,2024-05-05
Vallecano vs Almeria,O/U,Under 2.5,2.0,0.5559130484563856,0.5,0.05591304845638556,True,10.0,La Liga,1,2024-05-05
Sevilla vs Granada,O/U,Under 2.5,2.01,0.5558870086761583,0.49751243781094534,0.058374570865212916,False,-10.0,La Liga,1,2024-05-05
Hannover vs Paderborn,O/U,Under 2.5,2.38,0.4819156139523124,0.42016806722689076,0.061747546725421654,False,-10.0,2. Bundesliga,2,2024-05-05
Arouca vs Estrela,1X2,Home,2.01,0.5939507795134318,0.49751243781094534,0.09643834170248644,False,-10.0,Liga Portugal,1,2024-05-05
Ein Frankfurt vs Leverkusen,1X2,Away,2.23,0.682020671430766,0.4484304932735426,0.23359017815722333,True,12.3,Bundesliga,1,2024-05-05
Parma vs Cremonese,1X2,Home,2.57,0.4850143847315853,0.38910505836575876,0.09590932636582655,False,-10.0,Serie B,2,2024-05-05
Eldense vs Leganes,1X2,Home,3.31,0.3880817911129305,0.3021148036253776,0.08596698748755288,False,-10.0,Segunda Division,2,2024-05-05
Tenerife vs Ferrol,1X2,Away,3.73,0.40693013308438175,0.2680965147453083,0.13883361833907343,False,-10.0,Segunda Division,2,2024-05-05
Crystal Palace vs Man United,1X2,Home,2.38,0.5153623509979233,0.42016806722689076,0.0951942837710325,True,13.799999999999999,Premier League,1,2024-05-06
Antalyaspor vs Pendikspor,O/U,Under 2.5,2.08,0.5383772738161652,0.4807692307692307,0.057608043046934454,False,-10.0,Super Lig,1,2024-05-06
Udinese vs Napoli,1X2,Away,1.98,0.5819050385087845,0.5050505050505051,0.07685453345827942,False,-10.0,Serie A,1,2024-05-06
Salernitana vs Atalanta,O/U,Under 2.5,2.53,0.48516473164618046,0.3952569169960475,0.08990781465013298,False,-10.0,Serie A,1,2024-05-06
Osnabruck vs Schalke 04,O/U,Under 2.5,2.45,0.49359564779173537,0.4081632653061224,0.08543238248561297,False,-10.0,2. Bundesliga,2,2024-05-07
Paderborn vs Hamburg,1X2,Home,3.47,0.40884588933447386,0.2881844380403458,0.12066145129412803,True,24.700000000000003,2. Bundesliga,2,2024-05-10
Cremonese vs Cittadella,O/U,Under 2.5,2.2,0.5306374994581171,0.45454545454545453,0.07609204491266258,False,-10.0,Serie B,2,2024-05-10
Sudtirol vs Palermo,1X2,Home,3.17,0.528356335577997,0.31545741324921134,0.21289892232878566,False,-10.0,Serie B,2,2024-05-10
Reggiana vs Parma,O/U,Under 2.5,2.07,0.5563500878774733,0.48309178743961356,0.07325830043785975,True,10.7,Serie B,2,2024-05-10
Lecco vs Modena,O/U,Under 2.5,2.01,0.5616046937862846,0.49751243781094534,0.0640922559753393,False,-10.0,Serie B,2,2024-05-10
Catanzaro vs Sampdoria,O/U,Under 2.5,2.0,0.5676680252121805,0.5,0.06766802521218052,False,-10.0,Serie B,2,2024-05-10
St Etienne vs Rodez,O/U,Under 2.5,2.38,0.5353445211873166,0.42016806722689076,0.1151764539604258,True,13.799999999999999,Ligue 2,2,2024-05-10
Annecy vs Angers,1X2,Home,3.38,0.5504493765153933,0.2958579881656805,0.2545913883497128,False,-10.0,Ligue 2,2,2024-05-10
Amiens vs Auxerre,O/U,Under 2.5,2.17,0.519631198526835,0.4608294930875576,0.05880170543927743,True,11.7,Ligue 2,2,2024-05-10
Alaves vs Girona,O/U,Under 2.5,2.04,0.5479237183533732,0.49019607843137253,0.05772763992200064,False,-10.0,La Liga,1,2024-05-10
Vizela vs Estrela,1X2,Home,3.47,0.38097772974234756,0.2881844380403458,0.09279329170200173,True,24.700000000000003,Liga Portugal,1,2024-05-11
Guimaraes vs Sp Braga,O/U,Under 2.5,2.22,0.5127582375046974,0.4504504504504504,0.062307787054247,False,-10.0,Liga Portugal,1,2024-05-11
Celtic vs Rangers,O/U,Over 2.5,1.56,0.6950528544584121,0.641025641025641,0.05402721343277117,True,5.6000000000000005,Premiership,1,2024-05-11
Freiburg vs Heidenheim,O/U,Under 2.5,2.31,0.48896599458314616,0.4329004329004329,0.05606556168271326,True,13.100000000000001,Bundesliga,1,2024-05-11
Livingston vs St Johnstone,1X2,Home,2.83,0.4573485074888425,0.35335689045936397,0.10399161702947851,True,18.3,Premiership,1,2024-05-11
FC Koln vs Union Berlin,1X2,Home,2.8,0.4689722067008756,0.35714285714285715,0.11182934955801843,True,18.0,Bundesliga,1,2024-05-11
Holstein Kiel vs Fortuna Dusseldorf,O/U,Under 2.5,2.6,0.49150038173541766,0.3846153846153846,0.10688499712003308,True,16.0,2. Bundesliga,2,2024-05-11
Eupen vs RWD Molenbeek,O/U,Under 2.5,2.1,0.5316621267001171,0.47619047619047616,0.05547165050964098,True,11.0,Jupiler Pro League,1,2024-05-11
Villarreal vs Sevilla,O/U,Under 2.5,2.4,0.5032713113944168,0.4166666666666667,0.08660464472775015,False,-10.0,La Liga,1,2024-05-11
Bournemouth vs Brentford,1X2,Home,1.98,0.5930802988374679,0.5050505050505051,0.08802979378696285,False,-10.0,Premier League,1,2024-05-11
Betis vs Almeria,O/U,Under 2.5,2.52,0.4923003680940292,0.3968253968253968,0.09547497126863241,False,-10.0,La Liga,1,2024-05-12
Kasimpasa vs Antalyaspor,O/U,Under 2.5,2.41,0.5380747122048933,0.41493775933609955,0.12313695286879378,False,-10.0,Super Lig,1,2024-05-12
Pendikspor vs Rizespor,O/U,Under 2.5,2.31,0.4913407051392079,0.4329004329004329,0.058440272238775015,False,-10.0,Super Lig,1,2024-05-12
Hibernian vs Aberdeen,1X2,Home,2.04,0.6061711462290045,0.49019607843137253,0.11597506779763195,False,-10.0,Premiership,1,2024-05-12
Excelsior vs Heracles,O/U,Under 2.5,2.59,0.5070248635520974,0.3861003861003861,0.12092447745171131,False,-10.0,Eredivisie,1,2024-05-12
Cartagena vs Tenerife,1X2,Home,2.67,0.46652716249062587,0.37453183520599254,0.09199532728463333,True,16.7,Segunda Division,2,2024-05-12
PAOK vs Olympiakos,1X2,Away,3.23,0.4327407005933802,0.30959752321981426,0.12314317737356595,False,-10.0,Super League,1,2024-05-12
