league,tier,total_bets,wins,hit_rate,total_pnl,roi,avg_odds,avg_edge,seasons_positive,seasons_total,season_rois
South Korea: K League Challenge,2,228,70,0.307,72.14,3.16,3.444,0.2515,3,3,"{'2012-13': 2.95, '2013-14': 5.47, '2014-15': 1.65}"
Turkey: PTT 1. Lig,3,560,183,0.3268,174.71,3.12,3.307,0.2437,1,3,"{'2012-13': 25.22, '2013-14': -9.34, '2014-15': -6.75}"
Australia: NSW Premier League,1,473,147,0.3108,128.17,2.71,3.38,0.2467,5,7,"{'2008-09': 30.26, '2009-10': 5.78, '2010-11': 11.47, '2011-12': 13.09, '2012-13': -15.32, '2013-14': 25.01, '2014-15': -23.85}"
Ireland: Division 1,3,415,130,0.3133,111.81,2.69,3.421,0.2521,4,7,"{'2008-09': 8.0, '2009-10': -10.43, '2010-11': 33.49, '2011-12': -0.03, '2012-13': 3.69, '2013-14': -25.31, '2014-15': 3.14}"
Germany: Oberliga Mittelrhein,3,429,143,0.3333,112.42,2.62,3.216,0.2799,2,3,"{'2012-13': 11.01, '2013-14': -4.27, '2014-15': 2.69}"
New Zealand: Football Championship,2,157,48,0.3057,39.05,2.49,3.523,0.2653,2,6,"{'2009-10': 32.08, '2010-11': -9.69, '2011-12': 37.71, '2012-13': -10.27, '2013-14': -9.24, '2014-15': -16.88}"
Netherlands: KNVB Beker,3,117,36,0.3077,24.93,2.13,3.422,0.2367,3,6,"{'2007-08': -6.15, '2010-11': 23.83, '2011-12': -67.05, '2012-13': -12.53, '2013-14': 22.83, '2014-15': 10.18}"
Germany: Oberliga Hessen,3,614,199,0.3241,122.76,2.0,3.276,0.2772,2,4,"{'2011-12': -7.27, '2012-13': 17.95, '2013-14': 1.72, '2014-15': -14.59}"
Chile: Primera B,2,470,149,0.317,82.85,1.76,3.355,0.2439,3,5,"{'2010-11': -7.82, '2011-12': -16.56, '2012-13': 2.21, '2013-14': 5.19, '2014-15': 2.09}"
Poland: Division 2 West,3,162,52,0.321,14.55,0.9,3.117,0.2158,1,2,"{'2010-11': -100.0, '2011-12': 8.25}"
Australia: Victorian Premier League,1,520,165,0.3173,40.99,0.79,3.326,0.2531,4,7,"{'2008-09': -1.35, '2009-10': 26.01, '2010-11': -23.58, '2011-12': 7.29, '2012-13': 4.03, '2013-14': 8.68, '2014-15': -10.62}"
Norway: Adeccoligaen,2,1180,366,0.3102,92.61,0.78,3.424,0.2608,5,10,"{'2004-05': -22.95, '2005-06': -10.71, '2006-07': -8.03, '2007-08': -10.39, '2008-09': -11.32, '2009-10': 6.06, '2010-11': 14.22, '2011-12': 9.07, '2012-13': 8.02, '2013-14': 29.96}"
Iceland: Landsbankadeild,3,180,55,0.3056,13.92,0.77,3.42,0.2669,2,5,"{'2004-05': -16.83, '2005-06': -4.21, '2006-07': 23.84, '2007-08': -16.27, '2008-09': 13.81}"
Chile: Primera Division,1,1792,554,0.3092,128.65,0.72,3.45,0.253,6,10,"{'2005-06': -18.66, '2006-07': -15.1, '2007-08': 14.71, '2008-09': 5.25, '2009-10': -3.33, '2010-11': -18.31, '2011-12': 1.76, '2012-13': 10.34, '2013-14': 9.92, '2014-15': 18.42}"
Russia: Division 2 - Center,3,375,113,0.3013,21.77,0.58,3.499,0.2622,2,5,"{'2010-11': 24.63, '2011-12': 30.24, '2012-13': -8.82, '2013-14': -10.0, '2014-15': -4.18}"
Finland: Kakkonen South,3,198,62,0.3131,10.84,0.55,3.41,0.2827,1,4,"{'2011-12': -4.84, '2012-13': -3.29, '2013-14': 13.6, '2014-15': -11.67}"
Australia: APL Premier League,1,265,76,0.2868,-0.9,-0.03,3.512,0.2681,1,3,"{'2012-13': -3.72, '2013-14': 19.01, '2014-15': -17.75}"
Scotland: Division 3,3,737,233,0.3161,-24.45,-0.33,3.336,0.2763,3,8,"{'2004-05': 8.66, '2005-06': 5.08, '2006-07': -3.71, '2007-08': -6.19, '2008-09': -11.87, '2009-10': 24.72, '2011-12': -2.33, '2012-13': -4.51}"
Brazil: Campeonato Carioca,3,482,148,0.3071,-19.61,-0.41,3.419,0.2438,8,11,"{'2004-05': 4.45, '2005-06': 7.45, '2006-07': 8.99, '2007-08': -17.97, '2008-09': 2.54, '2009-10': 29.55, '2010-11': 2.87, '2011-12': 1.66, '2012-13': 3.02, '2013-14': -1.48, '2014-15': -39.25}"
Finland: Kakkonen East,3,222,68,0.3063,-17.53,-0.79,3.401,0.2758,1,4,"{'2011-12': -7.47, '2012-13': 8.37, '2013-14': -0.79, '2014-15': -7.55}"
USA: North American Soccer League,3,324,98,0.3025,-28.35,-0.88,3.363,0.2424,1,5,"{'2010-11': -2.13, '2011-12': -12.21, '2012-13': -2.27, '2013-14': -12.1, '2014-15': 14.3}"
Japan: J-League,1,1943,598,0.3078,-202.7,-1.04,3.363,0.2648,5,11,"{'2004-05': 2.29, '2005-06': -7.9, '2006-07': 15.77, '2007-08': 3.77, '2008-09': -0.61, '2009-10': 20.77, '2010-11': -21.56, '2011-12': 1.91, '2012-13': -10.85, '2013-14': -2.42, '2014-15': -9.17}"
Germany: Junioren Bundesliga South,1,458,138,0.3013,-70.53,-1.54,3.366,0.2676,2,6,"{'2009-10': 30.92, '2010-11': -5.05, '2011-12': 5.52, '2012-13': -18.63, '2013-14': -5.74, '2014-15': -6.08}"
Iceland: Division 1,3,331,103,0.3112,-67.96,-2.05,3.326,0.2623,3,6,"{'2009-10': 74.08, '2010-11': -26.68, '2011-12': -3.66, '2012-13': 9.51, '2013-14': 3.84, '2014-15': -9.09}"
England: Vanarama Conference North,3,259,76,0.2934,-54.98,-2.12,3.363,0.2617,0,1,{'2014-15': -2.12}
