source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
deepbetting,2026-06-07,Friendlies,,,over_under_25,,1.700,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-07,Friendlies,,,1x2,,1.250,won,0.2500,https://deepbetting.io/dashboard/
deepbetting,2026-06-07,Friendlies,,,1x2,,1.170,won,0.1700,https://deepbetting.io/dashboard/
deepbetting,2026-06-08,Friendlies,,,over_under_25,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-06-08,Friendlies,,,1x2,,1.270,won,0.2700,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,1x2,,1.250,won,0.2500,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,over_under_25,,1.600,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,1x2,,1.530,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,over_under_25,,1.570,won,0.5700,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,over_under_25,,1.800,won,0.8000,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,1x2,,1.350,won,0.3500,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,1x2,,1.650,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-09,Friendlies,,,1x2,,1.180,won,0.1800,https://deepbetting.io/dashboard/
deepbetting,2026-06-10,Friendlies,,,over_under_25,,1.530,won,0.5300,https://deepbetting.io/dashboard/
deepbetting,2026-06-11,World Cup,,,1x2,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-06-11,World Cup,,,over_under_25,,1.660,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-12,World Cup,,,over_under_25,,1.670,won,0.6700,https://deepbetting.io/dashboard/
deepbetting,2026-06-13,World Cup,,,1x2,,1.200,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-13,World Cup,,,over_under_25,,1.300,won,0.3000,https://deepbetting.io/dashboard/
deepbetting,2026-06-13,World Cup,,,1x2,,1.650,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-14,World Cup,,,over_under_25,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-06-14,World Cup,,,1x2,,1.910,won,0.9100,https://deepbetting.io/dashboard/
deepbetting,2026-06-15,World Cup,,,over_under_25,,1.360,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-16,World Cup,,,over_under_25,,1.900,won,0.9000,https://deepbetting.io/dashboard/
deepbetting,2026-06-16,World Cup,,,1x2,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-06-16,World Cup,,,1x2,,1.350,won,0.3500,https://deepbetting.io/dashboard/
deepbetting,2026-06-17,World Cup,,,1x2,,1.300,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-17,World Cup,,,over_under_25,,1.910,won,0.9100,https://deepbetting.io/dashboard/
deepbetting,2026-06-18,World Cup,,,over_under_25,,1.440,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-18,World Cup,,,1x2,,1.830,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-19,World Cup,,,over_under_25,,1.300,won,0.3000,https://deepbetting.io/dashboard/
deepbetting,2026-06-19,World Cup,,,1x2,,1.570,won,0.5700,https://deepbetting.io/dashboard/
deepbetting,2026-06-20,World Cup,,,over_under_25,,1.730,won,0.7300,https://deepbetting.io/dashboard/
deepbetting,2026-06-20,World Cup,,,over_under_25,,1.360,won,0.3600,https://deepbetting.io/dashboard/
deepbetting,2026-06-21,World Cup,,,over_under_25,,1.670,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-22,World Cup,,,1x2,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-06-22,World Cup,,,over_under_25,,1.900,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-23,World Cup,,,over_under_25,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-23,World Cup,,,1x2,,1.500,won,0.5000,https://deepbetting.io/dashboard/
deepbetting,2026-06-23,World Cup,,,1x2,,1.530,won,0.5300,https://deepbetting.io/dashboard/
deepbetting,2026-06-24,World Cup,,,1x2,,1.330,won,0.3300,https://deepbetting.io/dashboard/
deepbetting,2026-06-24,World Cup,,,over_under_25,,1.800,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-24,World Cup,,,1x2,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-06-24,World Cup,,,over_under_25,,2.100,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-25,World Cup,,,1x2,,1.140,won,0.1400,https://deepbetting.io/dashboard/
deepbetting,2026-06-25,World Cup,,,over_under_25,,1.610,won,0.6100,https://deepbetting.io/dashboard/
deepbetting,2026-06-25,World Cup,,,over_under_25,,1.400,won,0.4000,https://deepbetting.io/dashboard/
deepbetting,2026-06-26,World Cup,,,over_under_25,,1.570,won,0.5700,https://deepbetting.io/dashboard/
deepbetting,2026-06-26,World Cup,,,over_under_25,,1.900,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-26,World Cup,,,1x2,,1.480,won,0.4800,https://deepbetting.io/dashboard/
deepbetting,2026-06-26,World Cup,,,1x2,,1.220,won,0.2200,https://deepbetting.io/dashboard/
deepbetting,2026-06-27,World Cup,,,over_under_25,,1.620,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-27,World Cup,,,over_under_25,,1.440,lost,-1.0000,https://deepbetting.io/dashboard/
deepbetting,2026-06-27,World Cup,,,1x2,,1.700,won,0.7000,https://deepbetting.io/dashboard/
