source,kickoff_date,league,home_team,away_team,market,pick,odds,result,pnl_per_unit,ref_url
winnerodds,2026-06-24,Sweden,,,1x2,2,3.350,won,2.3500,https://winnerodds.com
winnerodds,2026-06-23,China,,,asian_handicap,ah-0_1,1.270,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-23,USA,,,over_under_35,o3.5,1.910,won,0.9100,https://winnerodds.com
winnerodds,2026-06-22,USA,,,asian_handicap,ah-0_2,1.190,won,0.1900,https://winnerodds.com
winnerodds,2026-06-18,Finland,,,asian_handicap,ah-0_2,1.680,void,0.0000,https://winnerodds.com
winnerodds,2026-06-18,Finland,,,1x2,x,3.550,won,2.5500,https://winnerodds.com
winnerodds,2026-06-20,Russia,,,asian_handicap,ah-0_1,2.060,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,China,,,1x2,1,3.830,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-22,China,,,asian_handicap,ah-0_1,1.730,void,0.0000,https://winnerodds.com
winnerodds,2026-06-21,Iceland,,,asian_handicap,ah-0_2,1.666,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,Sweden,,,over_under_35,o3.5,1.880,won,0.8800,https://winnerodds.com
winnerodds,2026-06-21,Norway,,,over_under_35,o3.5,1.800,won,0.8000,https://winnerodds.com
winnerodds,2026-06-21,Norway,,,asian_handicap,ah-0_2,1.210,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-19,Norway,,,over_under_35,o3.5,1.680,won,0.6800,https://winnerodds.com
winnerodds,2026-06-18,Latvia,,,over_under_35,o3.5,1.920,won,0.9200,https://winnerodds.com
winnerodds,2026-06-21,USA,,,over_under_35,o3.5,3.650,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,USA,,,over_under_35,o3.5,1.760,won,0.7600,https://winnerodds.com
winnerodds,2026-06-21,USA,,,over_under_35,o3.5,1.660,won,0.6600,https://winnerodds.com
winnerodds,2026-06-20,Argentina,,,1x2,1,3.767,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,USA,,,asian_handicap,ah-0_2,1.800,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-15,Argentina,,,asian_handicap,ah-0_1,1.666,void,0.0000,https://winnerodds.com
winnerodds,2026-06-20,Iran,,,asian_handicap,ah-0_1,1.500,void,0.0000,https://winnerodds.com
winnerodds,2026-06-18,Russia,,,asian_handicap,ah-0.5_1,1.530,won,0.5300,https://winnerodds.com
winnerodds,2026-06-17,Iran,,,asian_handicap,ah-0_1,1.790,won,0.7900,https://winnerodds.com
winnerodds,2026-06-19,Cameroon,,,asian_handicap,ah-0_1,1.260,won,0.2600,https://winnerodds.com
winnerodds,2026-06-17,Kazakhstan,,,1x2,x,3.440,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-16,Sweden,,,1x2,2,1.930,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-21,Iran,,,1x2,1,3.585,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-19,Sweden,,,asian_handicap,ah-0_2,1.700,won,0.7000,https://winnerodds.com
winnerodds,2026-06-18,Russia,,,asian_handicap,ah-0_1,1.300,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-17,Sweden,,,asian_handicap,ah-0_2,1.370,won,0.3700,https://winnerodds.com
winnerodds,2026-06-14,Norway,,,1x2,2,1.863,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-21,Faroe Islands,,,over_under_35,o3.5,1.667,won,0.6670,https://winnerodds.com
winnerodds,2026-06-20,Mozambique,,,asian_handicap,ah+0.5_1,1.300,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,Mozambique,,,asian_handicap,ah-0_1,1.444,void,0.0000,https://winnerodds.com
winnerodds,2026-06-18,Norway,,,over_under_35,o3.5,1.500,won,0.5000,https://winnerodds.com
winnerodds,2026-06-18,Russia,,,asian_handicap,ah-0.5_1,2.450,won,1.4500,https://winnerodds.com
winnerodds,2026-06-18,Russia,,,asian_handicap,ah-0.5_1,1.470,won,0.4700,https://winnerodds.com
winnerodds,2026-06-15,Belarus,,,1x2,2,2.110,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-18,Malawi,,,asian_handicap,ah-0_1,1.310,won,0.3100,https://winnerodds.com
winnerodds,2026-06-19,Sweden,,,over_under_35,o3.5,1.800,won,0.8000,https://winnerodds.com
winnerodds,2026-06-17,Kazakhstan,,,1x2,x,3.960,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-18,Estonia,,,asian_handicap,ah-0_1,1.444,won,0.4440,https://winnerodds.com
winnerodds,2026-06-20,Norway,,,over_under_35,o3.5,1.490,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,Norway,,,asian_handicap,ah-0_1,1.820,won,0.8200,https://winnerodds.com
winnerodds,2026-06-19,Australia,,,asian_handicap,ah-0_2,1.430,won,0.4300,https://winnerodds.com
winnerodds,2026-06-17,Australia,,,over_under_25,u2.5,4.333,won,3.3330,https://winnerodds.com
winnerodds,2026-06-20,USA,,,asian_handicap,ah-0_2,4.100,won,3.1000,https://winnerodds.com
winnerodds,2026-06-20,USA,,,over_under_35,o3.5,1.810,won,0.8100,https://winnerodds.com
winnerodds,2026-06-15,Argentina,,,asian_handicap,ah-0.5_1,2.800,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-14,Argentina,,,asian_handicap,ah-0_1,1.480,won,0.4800,https://winnerodds.com
winnerodds,2026-06-18,Argentina,,,asian_handicap,ah-0_2,3.400,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-17,Argentina,,,asian_handicap,ah-0_1,1.710,void,0.0000,https://winnerodds.com
winnerodds,2026-06-15,Argentina,,,1x2,1,3.380,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-14,Argentina,,,asian_handicap,ah-0.5_1,2.300,won,1.3000,https://winnerodds.com
winnerodds,2026-06-18,Russia,,,asian_handicap,ah-0.5_2,1.154,won,0.1540,https://winnerodds.com
winnerodds,2026-06-18,Iceland,,,over_under_35,o3.5,1.700,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,Morocco,,,asian_handicap,ah-0_1,1.240,won,0.2400,https://winnerodds.com
winnerodds,2026-06-15,Kazakhstan,,,over_under_25,u2.5,1.634,won,0.6340,https://winnerodds.com
winnerodds,2026-06-18,Russia,,,1x2,1,1.480,won,0.4800,https://winnerodds.com
winnerodds,2026-06-18,Iceland,,,over_under_35,o3.5,1.750,won,0.7500,https://winnerodds.com
winnerodds,2026-06-16,Brazil,,,1x2,2,3.180,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-19,Norway,,,over_under_35,o3.5,2.000,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,Norway,,,over_under_35,o3.5,1.610,won,0.6100,https://winnerodds.com
winnerodds,2026-06-18,Russia,,,1x2,1,4.370,won,3.3700,https://winnerodds.com
winnerodds,2026-06-18,Zimbabwe,,,1x2,2,3.030,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-18,Zimbabwe,,,1x2,2,3.015,won,2.0150,https://winnerodds.com
winnerodds,2026-06-20,Malawi,,,asian_handicap,ah-0_1,1.280,won,0.2800,https://winnerodds.com
winnerodds,2026-06-19,Norway,,,asian_handicap,ah-0.5_2,1.180,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-19,Norway,,,over_under_25,u2.5,2.500,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-19,Norway,,,over_under_35,o3.5,1.540,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-15,Kazakhstan,,,over_under_25,u2.5,1.670,lost,-1.0000,https://winnerodds.com
winnerodds,2026-06-20,South Korea,,,asian_handicap,ah-0.5_2,1.950,won,0.9500,https://winnerodds.com
winnerodds,2026-06-19,South Korea,,,asian_handicap,ah-0.5_2,4.700,lost,-1.0000,https://winnerodds.com
